filename,iati-activity/iati-identifier[1],iati-activity/budget,iati-activity/budget@status,iati-activity/budget@type,iati-activity/budget/period-start[1],iati-activity/budget/period-start[1]@iso-date,iati-activity/budget/period-end[1],iati-activity/budget/period-end[1]@iso-date,iati-activity/budget/value[1],iati-activity/budget/value[1]@currency,iati-activity/budget/value[1]@value-date
drc-activities,DK-CVR-20699310-DF20381,"
      ",1,1,,2018-04-01,,2019-03-31,7895199,GBP,2018-05-30
drc-activities,DK-CVR-20699310-DF20381,"
      ",1,1,,2019-04-01,,2020-03-31,7376076,GBP,2018-05-30
drc-activities,DK-CVR-20699310-DF20381,"
      ",2,2,,2020-04-01,,2020-12-31,1500245.94,GBP,2020-04-01
drc-activities,DK-CVR-20699310-DF18695,"
      ",2,2,,2017-07-01,,2018-05-31,4039868,GBP,2017-07-01
drc-activities,DK-CVR-20699310-DF19726,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,1,,2019-01-01,,2019-03-01,80000000,,2019-01-01
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,1,,2019-07-01,,2019-09-30,80000000,,2019-09-03
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,1,,2020-01-01,,2020-03-31,80000000,,2020-01-01
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,1,,2020-04-01,,2020-09-30,80000000,,2020-01-01
drc-activities,DK-CVR-20699310-DK2112467,"
      ",2,1,,2019-01-01,,2019-03-31,7500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK2112467,"
      ",2,1,,2019-07-05,,2019-09-30,7500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DF2055,"
      ",1,1,,2017-08-01,,2018-03-31,552000,GBP,2017-08-01
drc-activities,DK-CVR-20699310-DF2055,"
      ",1,1,,2018-04-01,,2019-03-31,770136,GBP,2018-04-01
drc-activities,DK-CVR-20699310-DF21849,,,,,,,,,,
drc-activities,DK-CVR-20699310-DU19527,"
      ",2,1,,2017-12-01,,2017-12-31,1280000,EUR,2017-12-01
drc-activities,DK-CVR-20699310-DU19527,"
      ",1,2,,2019-08-01,,2019-12-30,240000,EUR,2017-12-01
drc-activities,DK-CVR-20699310-DU19527,"
      ",1,1,,2020-01-01,,2020-12-31,80000,EUR,2017-12-01
drc-activities,DK-CVR-20699310-DU20658,"
      ",1,1,,2018-10-01,,2018-12-31,400000,EUR,2018-11-01
drc-activities,DK-CVR-20699310-DU20658,"
      ",1,1,,2019-10-01,,2019-12-31,502500,EUR,2018-11-01
drc-activities,DK-CVR-20699310-DU20658,"
      ",1,1,,2019-11-30,,2020-11-29,47500,EUR,2018-11-01
drc-activities,DK-CVR-20699310-DU191129,"
      ",2,1,,2019-06-01,,2020-05-31,644104.75,EUR,2019-06-01
drc-activities,DK-CVR-20699310-DU191129,"
      ",1,1,,2020-06-01,,2021-05-30,537618.51,EUR,2019-06-01
drc-activities,DK-CVR-20699310-DU191129,"
      ",1,1,,2021-06-01,,2022-05-30,604452.52,EUR,2019-06-01
drc-activities,DK-CVR-20699310-DU191129,"
      ",1,1,,2022-09-01,,2022-12-01,94103.99,EUR,2019-06-01
drc-activities,DK-CVR-20699310-DF20376,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19947,"
      ",1,1,,2019-01-01,,2019-12-31,20500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DF221251,"
      ",1,2,,2019-04-28,,2020-04-27,3324321.24,GBP,2020-05-29
drc-activities,DK-CVR-20699310-DF221251,"
      ",1,2,,2020-04-28,,2021-04-27,6745483.69,GBP,2020-05-29
drc-activities,DK-CVR-20699310-DF221251,"
      ",1,2,,2021-04-28,,2022-04-27,5584884.73,GBP,2020-05-29
drc-activities,DK-CVR-20699310-DF221251,"
      ",1,2,,2022-04-28,,2023-04-27,5049684.02,GBP,2020-05-29
drc-activities,DK-CVR-20699310-DF211215,"
      ",1,1,,2020-01-01,,2020-03-31,552030,GBP,2019-01-01
drc-activities,DK-CVR-20699310-DF211215,"
      ",1,1,,2020-04-01,,2020-06-30,2429541,GBP,2019-01-01
drc-activities,DK-CVR-20699310-DF211215,"
      ",1,1,,2020-10-01,,2020-12-31,175074,GBP,2019-01-01
drc-activities,DK-CVR-20699310-DF211215,"
      ",1,1,,2021-04-01,,2021-06-30,524925,GBP,2019-08-01
drc-activities,DK-CVR-20699310-DF211215,"
      ",1,1,,2019-07-01,,2019-09-30,600000,GBP,2019-08-31
drc-activities,DK-CVR-20699310-DF211215,"
      ",1,1,,2019-10-01,,2019-12-31,500000,GBP,2019-08-31
drc-activities,DK-CVR-20699310-DU22821,"
      ",1,1,,2019-11-01,,2020-10-31,1580000,EUR,2019-11-01
drc-activities,DK-CVR-20699310-DU22821,"
      ",1,1,,2020-11-01,,2021-04-30,685000,EUR,2019-11-01
drc-activities,DK-CVR-20699310-DU22821,"
      ",1,1,,2021-05-01,,2021-10-31,685000,EUR,2019-11-01
drc-activities,DK-CVR-20699310-DU22821,"
      ",1,1,,2021-11-01,,2022-10-31,375000,EUR,2019-11-01
drc-activities,DK-CVR-20699310-DU22821,"
      ",1,1,,2022-10-01,,2022-12-31,175000,EUR,2020-03-31
drc-activities,DK-CVR-20699310-DF21532,"
      ",2,2,,2019-08-01,,2019-12-31, 318372.00,GBP,2019-08-01
drc-activities,DK-CVR-20699310-DF21532,"
      ",2,2,,2020-01-01,,2020-12-31,364624.00,GBP,2020-01-01
drc-activities,DK-CVR-20699310-DRCRO04-19,,,,,,,,,,
drc-activities,DK-CVR-20699310-GA22,"
      ",1,1,,2020-05-01,,2021-03-31,493551000.00,DKK,2020-05-01
drc-activities,DK-CVR-20699310-DRCCOL19,,,,,,,,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,,,,,,,,,,
drc-activities,DK-CVR-20699310-DRCRO03-19,,,,,,,,,,
drc-activities,DK-CVR-20699310-DRCRO06-19,,,,,,,,,,
drc-activities,DK-CVR-20699310-DRCRO01-19,,,,,,,,,,
drc-activities,DK-CVR-20699310-DRCRO05-19,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",1,1,,2020-05-21,,2021-03-31,2000000.00,GBP,2020-05-21
drc-activities,DK-CVR-20699310-DF201067,"
      ",1,1,,2019-04-01,,2019-11-30,185714,GBP,2019-04-01
drc-activities,DK-CVR-20699310-DF201067,"
      ",1,1,,2019-12-01,,2020-05-31,278571,GBP,2019-11-01
drc-activities,DK-CVR-20699310-DF201067,"
      ",1,1,,2020-05-01,,2020-12-31,185714,GBP,2019-12-01
drc-activities,DK-CVR-20699310-DK19953,"
      ",1,,,2019-01-01,,2019-12-31,28283949,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK1925,"
      ",1,2,,2019-01-01,,2019-12-31,17925000.00,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19524,"
      ",1,2,,2019-01-01,,2019-12-31,6000000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19615,"
      ",1,,,2019-01-01,,2019-12-31,6000000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19649,"
      ",2,1,,2019-01-01,,2019-12-31,2912350,,2019-01-01
drc-activities,DK-CVR-20699310-DK19950,"
      ",1,1,,2019-01-01,,2019-12-31,1400000,,2019-01-01
drc-activities,DK-CVR-20699310-DK19652,"
      ",1,,,2019-01-01,,2019-12-31,2400000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19653,"
      ",1,,,2019-01-01,,2019-12-31,3200000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19713,"
      ",1,2,,2019-01-01,,2019-12-31,4000000.00,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19715,"
      ",1,,,2019-01-01,,2019-12-31,1631298,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19720,"
      ",1,2,,2019-01-01,,2019-12-31,3500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19726,"
      ",1,,,2019-01-01,,2019-12-31,3000000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19741,"
      ",1,1,,2019-01-01,,2019-12-31,2500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19744,"
      ",1,,,2019-01-01,,2019-12-31,2500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19843,"
      ",1,1,,2019-01-01,,2019-12-31,4400000.00,,2019-01-01
drc-activities,DK-CVR-20699310-DK19888,"
      ",1,1,,2019-01-01,,2019-12-31,2000000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19903,"
      ",1,,,2019-01-01,,2019-12-31,4000000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19971,"
      ",1,,,2019-01-01,,2019-12-31,1582517,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19973,"
      ",1,1,,2019-01-01,,2019-12-31,1879844,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19974,"
      ",1,,,2019-01-01,,2019-12-31,1267483,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19976,"
      ",1,2,,2019-01-01,,2019-12-31,4319240,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19977,"
      ",1,,,2019-01-01,,2019-12-31,1000000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK191007,"
      ",1,,,2019-01-01,,2019-12-31,7500000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19742,"
      ",1,,,2019-01-01,,2019-12-31,5000000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK191239,"
      ",1,,,2019-01-01,,2019-12-31,8000000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK191790,"
      ",1,,,2019-01-01,,2019-12-31,1707654,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK19479,"
      ",1,,,2020-01-01,,2020-12-31,1991186,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201680,"
      ",1,,,2020-01-01,,2020-12-31,8000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201681,"
      ",1,,,2020-01-01,,2020-12-31,2000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201683,"
      ",1,,,2020-01-01,,2020-12-31,7000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201685,"
      ",1,,,2020-01-01,,2020-12-31,2500000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201687,"
      ",1,,,2020-01-01,,2020-12-31,8500000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201688,"
      ",1,,,2020-01-01,,2020-12-31,8500000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201689,"
      ",1,,,2020-01-01,,2020-12-31,32000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201690,"
      ",1,,,2020-01-01,,2020-12-31,12000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK1940,"
      ",1,,,2019-01-01,,2019-12-31,20579858,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK201692,"
      ",1,,,2020-01-01,,2020-12-31,38750000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK19972,"
      ",1,,,2019-01-01,,2019-12-31,900000,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK201686,"
      ",1,,,2020-01-01,,2020-12-31,4000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DU252394,"
      ",1,1,,2020-10-31,,2020-12-31,772719,EUR,2020-10-31
drc-activities,DK-CVR-20699310-DU252394,"
      ",1,1,,2021-01-01,,2021-12-31,2637471,EUR,2020-10-26
drc-activities,DK-CVR-20699310-DU252394,"
      ",1,1,,2022-01-01,,2022-12-31,2804690,EUR,2020-10-31
drc-activities,DK-CVR-20699310-DU252394,"
      ",1,1,,2023-01-01,,2023-12-31,2275256,EUR,2020-10-03
drc-activities,DK-CVR-20699310-DU252394,"
      ",1,1,,2024-01-01,,2024-12-31,489662,EUR,2020-10-26
drc-activities,DK-CVR-20699310-DU252394,"
      ",1,1,,2025-01-01,,2025-12-31,230242,EUR,2020-10-01
drc-activities,DK-CVR-20699310-DU252398,,,,,,,,,,
drc-activities,DK-CVR-20699310-DU252397,,,,,,,,,,
drc-activities,DK-CVR-20699310-DU252399,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK201695,"
      ",1,,,2020-01-01,,2020-12-31,2757981,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201693,"
      ",1,,,2020-01-01,,2020-12-31,631093,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201698,"
      ",1,,,2020-01-01,,2020-12-31,3618907,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201699,"
      ",1,,,2020-01-01,,2020-12-31,2000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201700,"
      ",1,,,2020-01-01,,2020-12-31,4250000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201701,"
      ",1,,,2020-01-01,,2020-12-31,1492019,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201711,"
      ",1,,,2020-01-01,,2020-12-31,5600000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201716,"
      ",1,,,2020-01-01,,2020-12-31,3200000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201717,"
      ",1,,,2020-01-01,,2020-12-31,3200000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201719,"
      ",1,,,2020-01-01,,2020-12-31,2000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201704,"
      ",1,,,2020-01-01,,2020-12-31,5100000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201708,"
      ",1,,,2020-01-01,,2020-12-31,1675000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201720,"
      ",1,,,2020-01-01,,2020-12-31,4800000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201718,"
      ",1,,,2020-01-01,,2020-12-31,1400000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DF212759,"
      ",2,1,,2021-01-14,,2021-04-30,250000.00,GBP,2021-01-01
drc-activities,DK-CVR-20699310-DK202628,"
      ",1,,,2020-01-01,,2020-12-31,11000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK202691,"
      ",1,,,2020-01-01,,2020-12-31,15000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201710,"
      ",1,,,2020-01-01,,2020-12-31,8997999,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201707,"
      ",1,,,2020-01-01,,2020-12-31,2855377,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201702,"
      ",1,,,2020-01-01,,2020-12-31,4250000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201706,"
      ",1,,,2020-01-01,,2020-12-31,5600000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK1926,"
      ",1,1,,2019-01-01,,2019-12-31,2329517.12,DKK,2019-01-01
drc-activities,DK-CVR-20699310-DK201691,"
      ",1,,,2020-01-01,,2020-12-31,12869321,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201832,"
      ",1,,,2020-01-01,,2020-12-31,8487506,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201684,"
      ",1,,,2020-01-01,,2020-12-31,8000000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201712,"
      ",1,,,2020-01-01,,2020-12-31,15747626,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201715,"
      ",1,,,2020-01-01,,2020-12-31,19550000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201709,"
      ",1,,,2020-01-01,,2020-12-31,1425000,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201705,"
      ",1,,,2020-01-01,,2020-12-31,6329779,DKK,2020-01-01
drc-activities,DK-CVR-20699310-DK201696,"
      ",1,,,2020-01-01,,2020-12-31,6682500,DKK,2020-01-01
