filename,iati-activity/iati-identifier[1],iati-activity/participating-org,iati-activity/participating-org@activity-id,iati-activity/participating-org@crs-channel-code,iati-activity/participating-org@ref,iati-activity/participating-org@role,iati-activity/participating-org@type,iati-activity/participating-org/narrative[1],iati-activity/participating-org/narrative[1]@{http://www.w3.org/XML/1998/namespace}lang,iati-activity/participating-org/narrative[2],iati-activity/participating-org/narrative[2]@{http://www.w3.org/XML/1998/namespace}lang
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,GB-CHC-1065972,4,21,International Rescue Committee UK,en,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",GB-COH-213890-82604014,,GB-COH-213890,4,21,Save the Children UK,en,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",GB-GOV-1-300461-103,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,DK-CVR-20699310,1,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,GB-CHC-1076822,4,21,Save the Children International,en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",GB-CHC-1065972-DF184,,GB-CHC-1065972,4,21,International Rescue Committee UK,en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",GB-CHC-1047501-UG-West_Nile,,GB-CHC-1047501,4,21,Action Against Hunger UK,en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",GB-GOV-1-300357-104,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,4,21,Lutheran World Federation,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF19726,"
      ",GB-GOV-1-300432-102,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",DK-CVR-20699310-DF16726,,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF19726,"
      ",NO-BRC-977538319-NGFM1611,,NO-BRC-977538319,4,21,Norwegian Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",GB-CHC-1065972-DF143,,GB-CHC-1065972,2,21,International Rescue Committee UK,en,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",US-EIN-13-5660870-DF143,,US-EIN-13-5660870,4,21,"International Rescue Committee, The",en,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,21000,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DK19938,"
      ",XM-DAC-3-1-271673-32612,11000,XM-DAC-3-1,1,10,Denmark - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",DK-CVR-20699310-DK21649,21000,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DK2112467,"
      ",XM-DAC-3-1-271671-32611,11000,XM-DAC-3-1,1,10,Denmark - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DK2112467,"
      ",,21000,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DK2112467,"
      ",,21000,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF2055,"
      ",GB-GOV-1-300561,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF2055,"
      ",DK-CVR-20699310-DF5520,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF2055,"
      ",DK-CVR-20699310DF5520,,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF21849,"
      ",GB-1-205255-104,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",DK-CVR-20699310-DF21849,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF21849,"
      ",DK-CVR-20699310-DF21849,,DK-CVR-20699310,1,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,GB-CHC-1076235,4,21,BBC Media Action,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,GB-CHC-1148404,4,21,Internews Europe,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,GB-CHC-1148404,4,21,Internews Europe,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,,4,21,Ground Truth Solutions,,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,NO-BRC-977538319,4,21,Norwegian Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",,,,4,90,The New Humanitarian,,,
drc-activities,DK-CVR-20699310-DF21849,"
      ",US-EIN-61-1725201-AP20002,,US-EIN-61-1725201,4,21,"Field Ready, USA",en,,
drc-activities,DK-CVR-20699310-DU19527,"
      ",XM-DAC-7-PPR-4000000964,,NL-KVK-27378529,1,10,Netherlands Enterprise Agency,en,,
drc-activities,DK-CVR-20699310-DU19527,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DU19527,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU20658,"
      ",XM-DAC-7-PPR-4000002041,,XM-DAC-7,1,10,Netherlands - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DU20658,"
      ",DK-CVR-20699310-DU20658,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU20658,"
      ",DK-CVR-20699310-DU20658,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU191129,"
      ",XM-DAC-7-PPR-4000002695,,XM-DAC-7,1,10,Netherlands - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DU191129,"
      ",DK-CVR-20699310-DU191129,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU191129,"
      ",DK-CVR-20699310-DU191129,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF20376,"
      ",XM-DAC-47066-DP.1798,,XM-DAC-47066,2,40,International Organization for Migration (IOM),en,,
drc-activities,DK-CVR-20699310-DF20376,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF20376,"
      ",,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DK19947,"
      ",,11000,XM-DAC-3-1,1,10,Denmark - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DK19947,"
      ",,21000,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19947,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF221251,"
      ",GB-1-205143-107,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF221251,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF221251,"
      ",GB-COH-213890-82604294,,GB-COH-213890,4,21,Save the Children UK,en,,
drc-activities,DK-CVR-20699310-DF221251,"
      ",GB-CHC-1076235-ET-1426,21000,GB-CHC-1076235,4,21,BBC Media Action,en,,
drc-activities,DK-CVR-20699310-DF221251,"
      ",,21000,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF221251,"
      ",AE-HFZA-1526-EMP-RTL,60000,AE-HFZA-1526,4,70,Altai Consulting,en,,
drc-activities,DK-CVR-20699310-DF211215,"
      ",,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF211215,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF211215,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU22821,"
      ",XM-DAC-7-PPR-4000002835,,XM-DAC-7,1,10,Netherlands - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DU22821,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU22821,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF21532,"
      ",GB-GOV-1-300726-103,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF21532,"
      ",GB-SC-SC030289-91387,,GB-SC-SC030289,2,21,Mercy Corps Europe,en,,
drc-activities,DK-CVR-20699310-DF21532,"
      ",DK-CVR-20699310-DF20532,,DK-CVR-20699310,4,21,Danish Refugee Council,en,Dansk Flygtningehjaelp,da
drc-activities,DK-CVR-20699310-DF21532,"
      ",,,NO-BRC-977538319,4,21,Norwegian Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF21532,"
      ",,,GB-CHC-202918,4,21,Oxfam GB,en,,
drc-activities,DK-CVR-20699310-DF21532,"
      ",,,US-EIN-13-5660870,4,21,The International Rescue Committee,en,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,XM-DAC-41127,1,40,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),en,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,,1,60,Ole Kirk Foundation,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,XM-DAC-3-1,1,10,"Denmark - Ministry of Foreign Affairs, Danida",en,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,,1,60,Fonden Augustinus,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,,1,21,Winrock International ,,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,41AAA,1,40,United Nations Office for Project Services (UNOPS),en,,
drc-activities,DK-CVR-20699310-DRCRO04-19,"
      ",,,XM-DAC-41121,1,40,United Nations High Commissioner for Refugees (UNHCR),en,,
drc-activities,DK-CVR-20699310-GA22,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCCOL19,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCCOL19,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCCOL19,"
      ",,,XM-DAC-3-1,1,10,"Denmark - Ministry of Foreign Affairs, Danida",en,,
drc-activities,DK-CVR-20699310-DRCCOL19,"
      ",,,XM-DAC-41121,1,40,United Nations High Commissioner for Refugees (UNHCR),en,,
drc-activities,DK-CVR-20699310-DRCCOL19,"
      ",,,US-GOV-1,1,10,United States Agency for International Development (USAID),en,,
drc-activities,DK-CVR-20699310-DRCCOL19,"
      ",,,XI-IATI-EC_ECHO,1,15,European Commission - Humanitarian Aid & Civil Protection,en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,,1,60,Ole Kirk Foundation,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,XM-DAC-41122,1,40,United Nations Children's Fund (UNICEF),en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,XM-DAC-3-1,1,10,"Denmark - Ministry of Foreign Affairs, Danida",en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,GB-SC-SC030289,1,21,Mercy Corps Europe,en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,US-GOV-1,1,10,United States Agency for International Development (USAID),en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,,1,60,Novo Nordisk Foundation,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,XM-DAC-41127,1,40,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,CH-4,1,10,Switzerland - Swiss Agency for Development and Cooperation (SDC),en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,,1,70,kreditanstalt für wiederaufbau,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,XI-IATI-EC_ECHO,1,15,European Commission - Humanitarian Aid & Civil Protection,en,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,,1,60,Kong Frederik d. VIIs Stiftelse ,,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,,1,10,"US DoS - PRM (US Department of Bureau, Population, Refugees and Migration)",,,
drc-activities,DK-CVR-20699310-DRCRO02-19,"
      ",,,XM-DAC-41140,1,40,United Nations World Food Programme (WFP),en,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,XM-DAC-3-1,1,10,"Denmark - Ministry of Foreign Affairs, Danida",en,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,,1,60,Ole Kirk Foundation,,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,US-GOV-1,1,10,United States Agency for International Development (USAID),en,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,XM-DAC-41122,1,40,United Nations Children's Fund (UNICEF),en,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,ES-CIF-G-8236803,1,21,Oxfam Intermón,en,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,,1,10,"US DoS - PRM (US Department of Bureau, Population, Refugees and Migration)",,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,XM-DAC-41121,1,40,United Nations High Commissioner for Refugees (UNHCR),en,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,XM-DAC-41140,1,40,United Nations World Food Programme (WFP),en,,
drc-activities,DK-CVR-20699310-DRCRO03-19,"
      ",,,,1,80,Stockholm International Peace Research Institute,,,
drc-activities,DK-CVR-20699310-DRCRO06-19,"
      ",,,XM-DAC-3-1,1,10,"Denmark - Ministry of Foreign Affairs, Danida",en,,
drc-activities,DK-CVR-20699310-DRCRO06-19,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO06-19,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO06-19,"
      ",,,XM-DAC-47066,1,40,International Organization for Migration (IOM),en,,
drc-activities,DK-CVR-20699310-DRCRO06-19,"
      ",,,XM-DAC-41114,1,40,United Nations Development Programme (UNDP),en,,
drc-activities,DK-CVR-20699310-DRCRO06-19,"
      ",,,XM-DAC-41121,1,40,United Nations High Commissioner for Refugees (UNHCR),en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,,1,60,Ole Kirk Foundation,,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,XM-DAC-3-1,1,10,"Denmark - Ministry of Foreign Affairs, Danida",en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,,1,60,Fonden Augustinus,,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,XM-DAC-41121,1,40,United Nations High Commissioner for Refugees (UNHCR),en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,US-GOV-1,1,10,United States Agency for International Development (USAID),en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,,1,60,Novo Nordisk Foundation,,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,,1,40,United Natins Peacebuilding Fund,,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,GB-GOV-1,1,10,"UK - Foreign, Commonwealth and Development Office",en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,CH-4,1,10,Switzerland - Swiss Agency for Development and Cooperation (SDC),en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,XI-IATI-EC_ECHO,1,15,European Commission - Humanitarian Aid & Civil Protection,en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,XM-DAC-41127,1,40,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,,1,60,Erik Thunes Legat,,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,XM-DAC-41140,1,40,United Nations World Food Programme (WFP),en,,
drc-activities,DK-CVR-20699310-DRCRO01-19,"
      ",,,,1,60,Signify Foundation,,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,,1,60,Ole Kirk Foundation,,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,XM-DAC-3-1,1,10,"Denmark - Ministry of Foreign Affairs, Danida",en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,,1,60,Fonden Augustinus,,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,DK-CVR-20699310,1,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,US-GOV-1,1,10,United States Agency for International Development (USAID),en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,XM-DAC-41121,1,40,United Nations High Commissioner for Refugees (UNHCR),en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,CH-4,1,10,Switzerland - Swiss Agency for Development and Cooperation (SDC),en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,,1,21,International Centre for Migration Policy Development,,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,,1,10,Gesellschaft für Internationale Zusammenarbeit,,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,XM-DAC-47066,1,40,International Organization for Migration (IOM),en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,,1,60,Fondazione Compagnia di San Paolo (FCSP),,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,41119,1,40,United Nations Population Fund,en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,SE-0,1,10,"Sweden, through Swedish International Development Cooperation Agency (Sida)",en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,XI-IATI-EC_DEVCO,1,15,European Commission - Directorate-General for International Cooperation and Development,en,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,,1,15,"The Church of Jesus Christ of Latter-day Saints, Serbia",,,
drc-activities,DK-CVR-20699310-DRCRO05-19,"
      ",,,,1,40,United Nation Interim Administration in Kosovo (UNMIK),,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",GB-GOV-1-301150-117,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",DK-CVR-20699310-DK212197,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",DK-CVR-20699310-DK212197,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",,,GB-CHC-1082565,4,80,Handicap International UK,en,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",,,GB-CHC-328158,4,21,Islamic Relief Worldwide,en,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",,,,4,21,RedR UK,,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",,,GB-CHC-1178168,4,21,CDAC Network,en,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",,,GB-CHC-1126727,4,21,MapAction,en,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",,,NO-BRC-977538319,4,21,Norwegian Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF212197,"
      ",,,,4,21,Ground Truth Solutions,,,
drc-activities,DK-CVR-20699310-DF201067,"
      ",,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF201067,"
      ",GB-COH-03259922-106106,,GB-COH-03259922,2,70,Crown Agents Limited,en,,
drc-activities,DK-CVR-20699310-DF201067,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19953,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19953,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19953,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK1925,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK1925,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK1925,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19524,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19524,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19524,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19615,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19615,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19615,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19649,"
      ",XM-DAC-3-1,,,1,10,Danida CIV (Civil Society Development) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19649,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19649,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19950,"
      ",,,XM-DAC-3-1,1,10,"Denmark - Ministry of Foreign Affairs, Danida",en,,
drc-activities,DK-CVR-20699310-DK19950,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19950,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19652,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19652,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19652,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19653,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19653,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
