filename,iati-activity/iati-identifier[1],iati-activity/participating-org,iati-activity/participating-org@activity-id,iati-activity/participating-org@crs-channel-code,iati-activity/participating-org@ref,iati-activity/participating-org@role,iati-activity/participating-org@type,iati-activity/participating-org/narrative[1],iati-activity/participating-org/narrative[1]@{http://www.w3.org/XML/1998/namespace}lang,iati-activity/participating-org/narrative[2],iati-activity/participating-org/narrative[2]@{http://www.w3.org/XML/1998/namespace}lang
drc-activities,DK-CVR-20699310-DK19653,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19713,"
      ",,,XM-DAC-3-1,1,10,Denmark - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DK19713,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19713,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19715,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19715,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19715,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19720,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19720,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19720,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19726,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19726,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19726,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19741,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19741,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19741,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19744,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19744,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19744,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19843,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19843,"
      ",,,XM-DAC-3-1,1,10,Denmark - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DK19843,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19888,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19888,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19888,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19903,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19903,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19903,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19971,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19971,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19971,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19973,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19973,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19973,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19974,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19974,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19974,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19976,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19976,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19976,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19977,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19977,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19977,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK191007,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK191007,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK191007,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19742,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19742,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19742,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK191239,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK191239,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK191239,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK191790,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK191790,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK191790,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19479,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19479,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19479,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201680,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201680,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201680,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,,,
drc-activities,DK-CVR-20699310-DK201681,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201681,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201681,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201683,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201683,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201683,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201685,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201685,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201685,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201687,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201687,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201687,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201688,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201688,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201688,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201689,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201689,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201689,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201690,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201690,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201690,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK1940,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK1940,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK1940,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201692,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201692,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201692,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19972,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK19972,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK19972,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201686,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201686,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201686,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU252394,"
      ",XM-DAC-7-PPR-4000004186,,XM-DAC-7,1,10,Netherlands - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DU252394,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU252394,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU252398,"
      ",XM-DAC-7-PPR-4000004186,,XM-DAC-7,1,10,Netherlands - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DU252398,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU252398,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU252397,"
      ",XM-DAC-7-PPR-4000004186,,XM-DAC-7,1,10,Netherlands - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DU252397,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU252397,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU252399,"
      ",XM-DAC-7-PPR-4000004186,,XM-DAC-7,1,10,Netherlands - Ministry of Foreign Affairs,en,,
drc-activities,DK-CVR-20699310-DU252399,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DU252399,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201695,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201695,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201695,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201693,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201693,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201693,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201698,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201698,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201698,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201699,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201699,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201699,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201700,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201700,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201700,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201701,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201701,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201701,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201711,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201711,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201711,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201716,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201716,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201716,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201717,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201717,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201717,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201719,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201719,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201719,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201704,"
      ",,,XM-DAC-3-1,1,10,Danida CIV (Civil Society Development) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201704,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201704,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201708,"
      ",,,XM-DAC-3-1,1,10,Danida CIV (Civil Society Development) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201708,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201708,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201720,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201720,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201720,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201718,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201718,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201718,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DF212759,"
      ",,,GB-GOV-1,1,10,UK - Department for International Development (DFID),en,,
drc-activities,DK-CVR-20699310-DF212759,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,,,
drc-activities,DK-CVR-20699310-DF212759,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK202628,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK202628,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK202628,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK202691,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK202691,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK202691,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201710,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201710,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201710,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201707,"
      ",,,XM-DAC-3-1,1,10,Danida CIV (Civil Society Development) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201707,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201707,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201702,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201702,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201702,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201706,"
      ",,,XM-DAC-3-1,1,10,Danida CIV (Civil Society Development) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201706,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201706,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK1926,"
      ",XM-DAC-3-1,,,1,10,Danida CIV (Civil Society Development) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK1926,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK1926,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201691,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201691,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201691,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201832,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201832,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201832,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201684,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201684,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201684,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201712,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201712,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201712,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201715,"
      ",,,,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201715,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201715,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201709,"
      ",,,XM-DAC-3-1,1,10,Danida CIV (Civil Society Development) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201709,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201709,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201705,"
      ",,,XM-DAC-3-1,1,10,Danida CIV (Civil Society Development) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201705,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201705,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201696,"
      ",,,XM-DAC-3-1,1,10,Danida HUM (Humanitarian Action) - Ministry of Foreign Affairs of Denmark,,,
drc-activities,DK-CVR-20699310-DK201696,"
      ",,,DK-CVR-20699310,2,21,Danish Refugee Council,en,,
drc-activities,DK-CVR-20699310-DK201696,"
      ",,,DK-CVR-20699310,4,21,Danish Refugee Council,en,,
